,PC1,PC2
CHROMA_0,0.04434615757570288,-0.18207262072397745
CHROMA_1,0.024392221519180253,-0.1900838188952216
CHROMA_2,0.019254116630249275,-0.2183358954542774
CHROMA_3,0.0725079483384566,-0.20556228822105752
CHROMA_4,0.0029110421902129504,-0.1463308751513415
CHROMA_5,-0.09332053119055342,-0.14522846649809248
CHROMA_6,-0.11414073312288703,-0.13342604361492696
CHROMA_7,-0.126601065620793,-0.11609390387492909
CHROMA_8,-0.1181916574797401,-0.12375576072605779
CHROMA_9,-0.09297757038170291,-0.13823927932315783
CHROMA_10,-0.05520418624231111,-0.14689359304131627
CHROMA_11,0.030009051910380457,-0.1579336998987765
CHROMA_12,0.026928406198584786,0.25213556572786955
CHROMA_13,0.005734952739798111,0.26935639190113014
CHROMA_14,-0.015437051776234544,0.2695514147152584
CHROMA_15,-0.03652773321041316,0.23180653030301981
CHROMA_16,-0.01875464482245068,0.22147716440888732
CHROMA_17,0.033844450034702114,0.22609190054531067
CHROMA_18,0.0577275025337669,0.19761445914439932
CHROMA_19,0.058161432157702544,0.14313775463722941
CHROMA_20,0.058387103175498334,0.15367792182774787
CHROMA_21,0.05345184229731656,0.20843766182269519
CHROMA_22,0.038289457480683534,0.19968006031144822
CHROMA_23,0.04109317126980565,0.2124779635974401
CENS_0,0.049719091321214486,-0.0420735330725976
CENS_1,0.04331267056627101,-0.08828634063376509
CENS_2,0.05615665953780228,-0.06332065850489672
CENS_3,0.060331876680296166,-0.059167177910380356
CENS_4,0.06393771639171493,-0.08376360206054383
CENS_5,0.07407017800058091,-0.03889636171958645
CENS_6,0.05354599315533269,-0.025935207504142365
CENS_7,-0.19661525298995594,0.06750333784206437
CENS_8,-0.08645249247719673,0.07622281782763923
CENS_9,0.0969192018382935,0.049844078581085624
CENS_10,0.11897168203385569,0.051690259843498954
CENS_11,0.12988573150877972,0.06609414103325614
CENS_12,-0.034377996564593664,-0.00451908752651211
CENS_13,-0.050355482016852145,0.031631636503072894
CENS_14,-0.033905284921464135,0.00042397417710279736
CENS_15,-0.014531091938818292,0.013260711454581247
CENS_16,-0.031446164966720015,-0.013427024334028427
CENS_17,-0.026105635748871574,0.0017640692334415652
CENS_18,-0.06263630820548996,0.009781522336532504
CENS_19,-0.08074309371183902,0.03564265385213211
CENS_20,-0.019577043388264798,0.011213797909890914
CENS_21,-0.038038315257965104,0.027883195626959782
CENS_22,-0.05133261650878881,0.02437740004938155
CENS_23,-0.044978257589842946,0.01797004278492591
SPECTRAL_CENTROID_0,0.16179233645618657,0.05565634270612339
SPECTRAL_CENTROID_1,0.0829531595201148,-0.02012703347052361
SPECTRAL_BANDWIDTH_0,0.342559521625861,0.04526749999522249
SPECTRAL_BANDWIDTH_1,-0.008445041463999407,0.00033591794447167933
SPECTRAL_CONTRAST_0,-0.029895874671130418,-0.021608636551544682
SPECTRAL_CONTRAST_1,0.05328096649457421,-0.00763250757924078
SPECTRAL_CONTRAST_2,-0.0810111677189301,0.028511293277813293
SPECTRAL_CONTRAST_3,-0.04014277913776524,0.08836338693970554
SPECTRAL_CONTRAST_4,-0.47737138360971587,0.12277575018464243
SPECTRAL_CONTRAST_5,0.03718148131192173,0.02346193968757717
SPECTRAL_CONTRAST_6,0.4045354252688143,-0.01446807781819061
SPECTRAL_CONTRAST_7,-0.0034965385890466556,0.017948123034275964
SPECTRAL_CONTRAST_8,0.06524798628589658,-0.011254430847437685
SPECTRAL_CONTRAST_9,-0.0258918237025605,0.022944047517848083
SPECTRAL_CONTRAST_10,-0.008150581982032093,0.05237038655152052
SPECTRAL_CONTRAST_11,-0.13940085274703037,0.047671413938096575
SPECTRAL_CONTRAST_12,0.07580755864887824,0.004504130200873293
SPECTRAL_CONTRAST_13,0.17103936496210023,-0.01788343370909289
SPECTRAL_FLATNESS_0,0.05060462001726224,-0.00779870127399147
SPECTRAL_FLATNESS_1,0.0767271575183679,-0.027366567019241533
SPECTRAL_ROLLOFF_0,0.22160599167376074,0.10334604115141055
SPECTRAL_ROLLOFF_1,0.12184970440044261,-0.010045484444362126
TONNETZ_0,-0.05548631197602644,0.0345082445135659
TONNETZ_1,-0.13241125102618714,0.042060374535065184
TONNETZ_2,-0.14656968884982463,0.06545928237945484
TONNETZ_3,-0.07572696305442203,0.012174851548499158
TONNETZ_4,-0.114858367640374,0.006206513876781568
TONNETZ_5,0.11494112143821775,-0.04642291360294831
TONNETZ_6,0.007375948247302675,-0.0002672784833309309
TONNETZ_7,-0.05609741021199071,0.0017983918712280267
TONNETZ_8,-0.04668089943440032,0.04309451430319266
TONNETZ_9,0.0005380263944190107,0.0033962930963726606
TONNETZ_10,-0.019862518356713262,0.0021224636718290154
TONNETZ_11,-0.027690870171580114,0.03018190978454284
ENTROPY_0,0.0760372194388217,-0.013740171430131256
