,PC1,PC2
CHROMA_0,-0.12660948748081555,-0.13859772119115096
CHROMA_1,-0.13541337212421473,-0.12151351487839528
CHROMA_2,-0.1543414368500323,-0.13012065050270444
CHROMA_3,-0.14996899371772432,-0.15544588691449168
CHROMA_4,-0.14207604803359228,-0.07127653041587899
CHROMA_5,-0.143341258822645,-0.002034395818727374
CHROMA_6,-0.1425190461860945,0.01357647963936222
CHROMA_7,-0.13370982201218515,0.024788465273195115
CHROMA_8,-0.14512726062078668,0.015825480252539523
CHROMA_9,-0.16221186333383614,-0.015948639115172292
CHROMA_10,-0.15140239812435652,-0.048019196519141744
CHROMA_11,-0.11528202639977785,-0.11930567070839529
CHROMA_12,0.23066609723996753,0.09605386946618633
CHROMA_13,0.24320027373760492,0.12086197273103189
CHROMA_14,0.23634344735338603,0.1348886758693405
CHROMA_15,0.20691219111610445,0.12984630952638973
CHROMA_16,0.20257030944541102,0.11276324609545121
CHROMA_17,0.20728874189472948,0.0785690051982063
CHROMA_18,0.20200615704841546,0.0512713960463037
CHROMA_19,0.1645510370852054,0.028095882284534687
CHROMA_20,0.1737187976028203,0.04597725899451502
CHROMA_21,0.20922577595219186,0.07097952073349915
CHROMA_22,0.19048267204552008,0.07610922010639848
CHROMA_23,0.20075661442594894,0.07259704550954778
CENS_0,-0.022374821149123234,-0.0854198708447476
CENS_1,-0.05780378223359354,-0.08019639353931014
CENS_2,-0.009156997697690482,-0.07381827061497413
CENS_3,-0.012518181848280815,-0.06756318932881623
CENS_4,0.004099949927465183,-0.07969238286448013
CENS_5,0.008504256384675894,-0.06984905458533844
CENS_6,0.020602741595042037,-0.04984417980157258
CENS_7,-0.036110959606396334,0.18911017673186306
CENS_8,0.01904783963471192,0.10825136180748839
CENS_9,0.08075992722674691,-0.058717666490338966
CENS_10,0.10930398145925742,-0.07793711252613604
CENS_11,0.1421537465835717,-0.09687809134308668
CENS_12,-0.05820868907859867,0.06316957769633133
CENS_13,-0.025672802783027398,0.09684855719392585
CENS_14,-0.04777316398077222,0.06438540735043938
CENS_15,-0.0487373160427583,0.06843817199331369
CENS_16,-0.0546489271086733,0.07500322789551736
CENS_17,-0.06698176205132973,0.06756773845443172
CENS_18,-0.08269236449990887,0.09942105259905386
CENS_19,-0.03572515568386572,0.10971578591956314
CENS_20,-0.030646514967802452,0.05128607829633224
CENS_21,-0.04072973734682341,0.07571547352796149
CENS_22,-0.040059167842204556,0.08442952282450321
CENS_23,-0.055544599685991757,0.07717411268047918
SPECTRAL_CENTROID_0,0.12910383910540335,-0.10484331116921825
SPECTRAL_CENTROID_1,0.06440280911963275,-0.1472109113023112
SPECTRAL_BANDWIDTH_0,0.1780627400889879,-0.2552726725953155
SPECTRAL_BANDWIDTH_1,0.05039214621336403,-0.018771383079402824
SPECTRAL_CONTRAST_0,-0.03427055145127832,0.017605146338698408
SPECTRAL_CONTRAST_1,-0.035479633995250406,-0.02745439601511566
SPECTRAL_CONTRAST_2,-0.03344565831181727,0.11403206819338953
SPECTRAL_CONTRAST_3,0.04276108935271492,0.08625233836976534
SPECTRAL_CONTRAST_4,-0.0944352042105345,0.44297681828213914
SPECTRAL_CONTRAST_5,0.022203143239827142,-0.01617950165259442
SPECTRAL_CONTRAST_6,0.1410517473031205,-0.3265697030573197
SPECTRAL_CONTRAST_7,0.002492411834616883,0.008318212640253252
SPECTRAL_CONTRAST_8,-0.01325969447538142,-0.05611762793177821
SPECTRAL_CONTRAST_9,-0.010364520631594572,0.04105093060245636
SPECTRAL_CONTRAST_10,0.03504617794074459,0.022625432261316004
SPECTRAL_CONTRAST_11,-0.003087684629165406,0.13302570946834077
SPECTRAL_CONTRAST_12,0.05435189384434253,-0.09417229864277706
SPECTRAL_CONTRAST_13,0.08716603244059107,-0.19338024218397692
SPECTRAL_FLATNESS_0,0.050677717240953477,-0.07962087161021236
SPECTRAL_FLATNESS_1,0.054274215446078765,-0.12470502688147843
SPECTRAL_ROLLOFF_0,0.19293771782532418,-0.12457516796958723
SPECTRAL_ROLLOFF_1,0.10232346215116987,-0.1306001890920547
TONNETZ_0,0.006156087328200431,0.05843490554786215
TONNETZ_1,-0.0472564702792347,0.11053101436195943
TONNETZ_2,-0.009088532124524932,0.13921613216392842
TONNETZ_3,-0.0274013182158192,0.050673484738444276
TONNETZ_4,-0.048971017696598416,0.08757428857635118
TONNETZ_5,0.00985416422941393,-0.11764261606414389
TONNETZ_6,-0.01961549108773215,0.027182243328399757
TONNETZ_7,-0.05993323684606092,0.06688153930478494
TONNETZ_8,-0.013956485935759164,0.07312516966279364
TONNETZ_9,-0.02132186199842696,0.027305065207091164
TONNETZ_10,-0.030695992674865943,0.040607594100587265
TONNETZ_11,-0.023752862539348243,0.0560453375031097
ENTROPY_0,0.008420339995741152,-0.03372186380973993
